customer_id,customer_name,city,signup_date
C001,Riya Sharma,Bengaluru,2025-02-01
C002,Kabir Joshi,Pune,2025-03-28
C003,Priya Patil,Hyderabad,2025-02-24
C004,Aarav Sharma,Pune,2025-01-28
C005,Kabir Shah,Hyderabad,2025-01-04
C006,Priya Singh,Hyderabad,2025-02-23
C007,Kabir Rao,Hyderabad,2025-02-05
C008,Aarav Joshi,Delhi,2025-02-13
C009,Sneha Joshi,Mumbai,2025-04-08
C010,Rahul Patil,Pune,2025-02-18
C011,Riya Mehta,Bengaluru,2025-03-19
C012,Sneha Sharma,Delhi,2025-03-10
C013,Riya Deshmukh,Pune,2025-03-12
C014,Sneha Gupta,Bengaluru,2025-03-15
C015,Kabir Patil,Pune,2025-03-26
C016,Kabir Kulkarni,Pune,2025-01-30
C017,Riya Deshmukh,Bengaluru,2025-02-28
C018,Rahul Joshi,Bengaluru,2025-02-15
C019,Kabir Kulkarni,Pune,2025-03-19
C020,Neha Shah,Mumbai,2025-01-21
